Date,WMT,COST,TGT,AMZN,BBY
1/3/2000,47.874611,32.996719,26.033281,89.375,19.206142
1/4/2000,46.083241,31.189322,24.904337,81.9375,19.081427
1/5/2000,45.142746,31.72226,24.339867,69.75,18.956711
1/6/2000,45.635387,32.359478,23.188353,65.5625,18.790417
1/7/2000,49.08379,34.502888,24.385014,69.5625,19.372419
1/10/2000,48.188103,35.22121,23.910872,69.1875,19.164574
1/11/2000,47.471554,33.969925,24.63339,66.75,18.582563
1/12/2000,46.620651,33.923607,24.36245,63.5625,18.104488
1/13/2000,46.665421,35.198048,24.926916,65.9375,17.626413
1/14/2000,46.217587,36.379818,25.017225,64.25,18.229206
1/18/2000,46.978928,38.001827,24.565664,64.125,18.146055
1/19/2000,45.904076,38.465275,25.265593,66.8125,18.873566
1/20/2000,45.411442,37.074974,24.452765,64.75,18.249983
1/21/2000,44.7397,35.962704,23.414135,62.0625,17.974556
1/24/2000,42.54525,34.850468,22.939989,70.125,17.169127
1/25/2000,43.799217,36.843254,23.527033,69.25,17.792698
1/26/2000,44.381424,37.399372,24.610813,64.8125,17.231482
1/27/2000,42.366108,36.287113,24.317284,66.9375,17.002842
1/28/2000,39.49992,34.108963,22.894829,61.6875,16.628693
1/31/2000,39.231197,36.287113,23.797979,64.5625,15.880405
2/1/2000,42.052635,38.465275,24.36245,67.4375,16.524767
2/2/2000,41.828697,39.994625,24.565664,69.4375,16.545549
2/3/2000,41.828697,40.179996,23.865713,84.1875,17.314631
2/4/2000,40.350822,39.299465,23.346401,78.5625,18.915134
2/7/2000,39.947762,38.001827,23.73024,75,18.291561
2/8/2000,42.634834,39.345798,24.814014,83.125,19.039854
2/9/2000,41.42564,39.206772,24.272131,80.25,18.229206
2/10/2000,40.843441,38.650654,24.001186,76.1875,18.104488
2/11/2000,40.17168,38.326237,23.865713,76.1875,17.855057
2/14/2000,42.186966,37.631073,23.572187,74.4375,17.626413
2/15/2000,41.560005,36.611515,23.098036,73.8125,17.647205
2/16/2000,37.798107,35.406605,22.400433,70.6875,18.291561
2/17/2000,34.663185,32.625973,21.698294,69,18.104488
2/18/2000,34.215347,33.321133,21.381208,64.75,18.665693
2/22/2000,34.484043,32.625973,20.928209,63.5625,17.875839
2/23/2000,33.67791,33.04306,20.58847,70.4375,17.875839
2/24/2000,34.30492,32.904034,20.248728,68.4375,17.21069
2/25/2000,31.886547,35.267563,20.248728,69.125,15.963541
2/28/2000,33.09573,36.287113,21.335896,65.75,17.189909
2/29/2000,34.931896,36.796906,21.381208,68.875,18.166847
3/1/2000,35.111034,34.479725,21.4718,65.875,18.291561
3/2/2000,36.230652,36.796906,21.834196,62.5625,18.977493
3/3/2000,37.708549,37.028629,22.377779,62.5,20.120718
3/6/2000,36.185863,37.167652,22.015383,63.9375,21.118443
3/7/2000,34.080986,33.645531,21.018814,63.5,19.517927
3/8/2000,34.618401,33.830891,21.086754,63.625,20.266226
3/9/2000,35.066242,33.04306,21.766237,68.8125,21.284729
3/10/2000,34.349697,32.718658,22.038038,66.875,20.744291
3/13/2000,34.170536,31.884455,22.264528,65.3125,20.432514
3/14/2000,34.215347,32.116188,22.083336,65.625,20.848225
3/15/2000,36.948826,36.935951,23.193171,63.75,21.991451
3/16/2000,39.190884,41.489178,25.775221,66.25,24.776754
3/17/2000,39.998013,39.994625,25.186325,64.8125,24.776754
3/20/2000,39.549603,38.78968,24.053844,64.1875,23.571165
3/21/2000,40.625786,38.696991,24.257687,72.375,24.44418
3/22/2000,39.728977,39.206772,24.167097,70.6875,25.441906
3/23/2000,38.742474,39.762901,24.642738,67.6875,26.855339
3/24/2000,39.818634,39.948269,25.050425,72.6875,25.919975
3/27/2000,39.773804,39.623859,24.801287,73.125,25.150898
3/28/2000,39.101189,37.909149,24.959837,70.125,27.271059
3/29/2000,42.150379,37.445717,26.318806,66.25,27.603628
3/30/2000,42.329739,37.260345,27.972229,66.5,27.915424
3/31/2000,40.536102,38.975048,27.088898,67,28.601351
